#Timestamp,Symbol,LastPrice
# Timestamp - hh:mm:ss.ssssss (Time resolves to microsecond)
# Symbol - (Capital letters and all alpha)
# Last Price - (Double and can have 0 to 4 decimals)
20:38:42.444491,AAL,12.7618
20:38:42.456108,AAPL,119.98
20:38:42.467634,ABBV,98.43
20:38:42.479422,AIG,38.22
20:38:42.491234,AMD,83.435
20:38:42.502974,AMZN,3124.64
20:38:42.515135,AVGO,379.44
20:38:42.526887,BABA,258.38
20:38:42.538649,BAC,27.4
20:38:42.550543,BBD,4.655
20:38:42.562306,BIDU,148.24
20:38:42.574076,BMY,64.36
20:38:42.585724,BP,19.72
20:38:42.597434,BYND,126.91
20:38:42.609268,C,50.14
20:38:42.620973,CRSP,106.655
20:38:42.632652,CSCO,42.405
20:38:42.644429,CVX,88.5399
20:38:42.656263,DAL,37.945
20:38:42.667994,DB,10.785
20:38:42.679839,DIS,144.21
20:38:42.691496,EWZ,32.05
20:38:42.703128,F,8.815
20:38:42.715326,FB,277.915
20:38:42.726990,FCX,20.98
20:38:42.738606,FXI,47.6723
20:38:42.750222,GDX,37.81
20:38:42.761895,GE,9.545
20:38:42.773401,GILD,61.005
20:38:42.785080,GLD,177.06
20:38:42.796936,GM,41.995
20:38:43.444953,GOLD,25.89
20:38:43.456762,GS,221.585
20:38:43.468475,IBM,118.13
20:38:43.480094,INTC,46.025
20:38:43.491954,ITUB,5.405
20:38:43.503893,JPM,116.145
20:38:43.515874,M,7.935
20:38:43.527963,MS,57.645
20:38:43.539790,MSFT,216.27
20:38:43.551653,MU,61.61
20:38:43.563425,NEM,65.55
20:38:43.575236,NFLX,477.833
20:38:43.587033,NIO,45.0566
20:38:43.598745,NOK,3.9
20:38:43.610606,NVDA,536.94
20:38:43.622310,ORCL,56.925
20:38:43.634108,PBR,8.81
20:38:43.645823,PFE,37.23
20:38:43.657490,QCOM,148.53
20:38:43.669245,QQQ,292.16
20:38:43.676621,ROKU,231.75
20:38:43.684077,SNAP,39.12
20:38:43.691425,SPY,360.95
20:38:43.698771,SQ,177.612
20:38:43.706044,T,28.9701
20:38:43.713397,TEVA,9.6
20:38:43.720707,TGT,164.95
20:38:43.727616,TLRY,7.3558
20:38:43.734197,TSLA,407.81
20:38:43.741381,TWTR,42.455
20:38:43.748104,UAL,40.8801
20:38:43.754694,UBER,49.3885
20:38:43.761235,USO,28.825
20:38:43.767769,VALE,12.005
20:38:43.774959,VZ,60.785
20:38:43.782147,WFC,24.63
20:38:43.789332,WMT,152.72
20:38:43.796688,WYNN,94.77
20:38:43.803531,X,11.1
20:38:43.810890,XOM,37.8035
20:38:43.818355,YPF,4.69
20:38:43.825176,AAL,12.765
20:38:43.832550,AAPL,119.985
20:38:43.854643,AMD,83.44
20:38:43.876744,BABA,258.4
20:38:43.906258,BMY,64.365
20:38:43.913668,BP,19.725
20:38:43.972249,DIS,144.2
20:38:43.986683,F,8.82
20:38:43.993893,FB,277.93
20:38:44.068078,GS,221.54
20:38:44.103226,ITUB,5.41
20:38:44.444225,MSFT,216.29
20:38:44.455439,MU,61.6
20:38:44.489163,NIO,45.045
20:38:44.500391,NOK,3.905
20:38:44.511577,NVDA,536.94
20:38:44.545645,PFE,37.22
20:38:44.568976,QQQ,292.139
20:38:44.603797,SPY,360.96
20:38:44.638535,TEVA,9.595
20:38:44.673704,TSLA,407.82
20:38:44.685369,TWTR,42.46
20:38:44.697089,UAL,40.885
20:38:44.708746,UBER,49.39
20:38:44.755639,WFC,24.625
20:38:44.767285,WMT,152.72
20:38:44.802435,XOM,37.8
20:38:44.837574,AAPL,119.965
20:38:44.860843,AIG,38.21
20:38:44.872436,AMD,83.42
20:38:44.918979,BAC,27.395
20:38:44.930473,BBD,4.6545
20:38:44.942073,BIDU,148.3
20:38:44.953740,BMY,64.355
20:38:44.965499,BP,19.725
20:38:44.989022,C,50.13
20:38:45.012524,CSCO,42.405
20:38:45.024165,CVX,88.535
20:38:45.047858,DB,10.78
20:38:45.071297,EWZ,32.055
20:38:45.083008,F,8.815
20:38:45.094612,FB,277.91
20:38:45.118126,FXI,47.6701
20:38:45.150417,GE,9.54
20:38:45.178625,GLD,177.05
20:38:45.226284,IBM,118.11
20:38:45.261352,JPM,116.13
20:38:45.272913,M,7.94
20:38:45.295892,MSFT,216.26
20:38:45.302736,MU,61.5899
20:38:45.310227,NEM,65.54
20:38:45.317077,NFLX,477.67
20:38:45.323946,NIO,45.03
20:38:45.337532,NVDA,536.8
20:38:45.357516,PFE,37.2255
20:38:45.364091,QCOM,148.515
20:38:45.370657,QQQ,292.12
20:38:45.391493,SPY,360.94
20:38:45.406185,T,28.979
20:38:45.412928,TEVA,9.6
20:38:45.419982,TGT,164.915
20:38:45.435462,TSLA,407.7
20:38:45.451358,UAL,40.88
20:38:45.488591,WFC,24.63
20:38:45.495556,WMT,152.71
20:38:45.517817,XOM,37.8
20:38:45.532638,AAL,12.7687
20:38:45.540092,AAPL,119.965
20:38:45.559399,AIG,38.215
20:38:45.569992,AMD,83.42
20:38:45.580387,AMZN,3124.43
20:38:45.611367,BAC,27.4
20:38:45.621734,BBD,4.655
20:38:45.663038,BYND,126.885
